modern_label,category,closest_naics_6,naics_title,sector_profile_id,confidence,mapping_method
After-School Program,Education & Tutoring (modern formats),624410,Child Day Care Services,healthcare.social_assistance,high,modern_via_naics6
Art Studio / Painting Classes,Education & Tutoring (modern formats),611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Bartending School,Education & Tutoring (modern formats),611519,Other Technical and Trade Schools,education.trade_technical,high,modern_via_naics6
CDL / Truck Driving School,Education & Tutoring (modern formats),611692,Automobile Driving Schools,education.tutoring_test_prep,high,modern_via_naics6
CPR / First Aid Training,Education & Tutoring (modern formats),611699,All Other Miscellaneous Schools and Instruction,education.tutoring_test_prep,high,modern_via_naics6
Coding Bootcamp,Education & Tutoring (modern formats),611420,Computer Training,education.bootcamps_online,high,modern_via_naics6
Coding for Kids School,Education & Tutoring (modern formats),611699,All Other Miscellaneous Schools and Instruction,education.tutoring_test_prep,high,modern_via_naics6
Concealed Carry / Firearms Class,"Fitness, Wellness & Recreation",713990,All Other Amusement and Recreation Industries,recreation.amusement_attraction,high,modern_keyword_override
Cooking School / Culinary Classes,Education & Tutoring (modern formats),611519,Other Technical and Trade Schools,education.trade_technical,high,modern_via_naics6
Dog Training School,Education & Tutoring (modern formats),812910,Pet Care (except Veterinary) Services,other_services.personal_care,high,modern_via_naics6
Driving School,Education & Tutoring (modern formats),611692,Automobile Driving Schools,education.tutoring_test_prep,high,modern_via_naics6
ESL / English Language School,Education & Tutoring (modern formats),611630,Language Schools,education.tutoring_test_prep,high,modern_via_naics6
Equestrian / Horse Riding Lessons,Education & Tutoring (modern formats),611620,Sports and Recreation Instruction,education.tutoring_test_prep,high,modern_via_naics6
Flight School,Education & Tutoring (modern formats),611512,Flight Training,education.trade_technical,high,modern_via_naics6
Foreign Language Tutor,Education & Tutoring (modern formats),611630,Language Schools,education.tutoring_test_prep,high,modern_via_naics6
Math Learning Center (Kumon etc.),Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Music Lessons / Music School,Education & Tutoring (modern formats),611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Online Course Creator,Education & Tutoring (modern formats),611710,Educational Support Services,education.support_services,high,modern_via_naics6
Online Tutor (1-on-1),Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Personal Training Certification,Education & Tutoring (modern formats),611699,All Other Miscellaneous Schools and Instruction,education.tutoring_test_prep,high,modern_via_naics6
Pottery Studio / Ceramics Classes,Education & Tutoring (modern formats),611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Reading / Literacy Tutor,Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Real Estate School,Education & Tutoring (modern formats),611519,Other Technical and Trade Schools,education.trade_technical,high,modern_via_naics6
SAT / ACT Prep Service,Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Skateboard / Surf Lessons,Education & Tutoring (modern formats),611620,Sports and Recreation Instruction,education.tutoring_test_prep,high,modern_via_naics6
Sleep-Away Camp / Summer Camp,Education & Tutoring (modern formats),721214,Recreational and Vacation Camps (except Campgrounds),hospitality.lodging,high,modern_via_naics6
Summer Camp (Day),Education & Tutoring (modern formats),624410,Child Day Care Services,healthcare.social_assistance,high,modern_via_naics6
Swim School,Education & Tutoring (modern formats),611620,Sports and Recreation Instruction,education.tutoring_test_prep,high,modern_via_naics6
Tennis Lessons / Camp,Education & Tutoring (modern formats),611620,Sports and Recreation Instruction,education.tutoring_test_prep,high,modern_via_naics6
"Test Prep Center (LSAT, GRE, MCAT)",Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Tutoring Center,Education & Tutoring (modern formats),611691,Exam Preparation and Tutoring,education.tutoring_test_prep,high,modern_via_naics6
Voice / Singing Lessons,Education & Tutoring (modern formats),611610,Fine Arts Schools,education.tutoring_test_prep,high,modern_via_naics6
Yoga Teacher Training,Education & Tutoring (modern formats),611699,All Other Miscellaneous Schools and Instruction,recreation.fitness_studio,high,modern_keyword_override
