naics_6,naics_title,sector_naics_2,sector_profile_id,confidence,mapping_method
111110,Soybean Farming,11,agriculture.crop_farming,high,naics4_rule
111120,Oilseed (except Soybean) Farming,11,agriculture.crop_farming,high,naics4_rule
111130,Dry Pea and Bean Farming,11,agriculture.crop_farming,high,naics4_rule
111140,Wheat Farming,11,agriculture.crop_farming,high,naics4_rule
111150,Corn Farming,11,agriculture.crop_farming,high,naics4_rule
111160,Rice Farming,11,agriculture.crop_farming,high,naics4_rule
111191,Oilseed and Grain Combination Farming,11,agriculture.crop_farming,high,naics4_rule
111199,All Other Grain Farming,11,agriculture.crop_farming,high,naics4_rule
111211,Potato Farming,11,agriculture.crop_farming,high,naics4_rule
111219,Other Vegetable (except Potato) and Melon Farming,11,agriculture.crop_farming,high,naics4_rule
111310,Orange Groves,11,agriculture.crop_farming,high,naics4_rule
111320,Citrus (except Orange) Groves,11,agriculture.crop_farming,high,naics4_rule
111331,Apple Orchards,11,agriculture.crop_farming,high,naics4_rule
111332,Grape Vineyards,11,agriculture.crop_farming,high,naics4_rule
111333,Strawberry Farming,11,agriculture.crop_farming,high,naics4_rule
111334,Berry (except Strawberry) Farming,11,agriculture.crop_farming,high,naics4_rule
111335,Tree Nut Farming,11,agriculture.crop_farming,high,naics4_rule
111336,Fruit and Tree Nut Combination Farming,11,agriculture.crop_farming,high,naics4_rule
111339,Other Noncitrus Fruit Farming,11,agriculture.crop_farming,high,naics4_rule
111411,Mushroom Production,11,agriculture.crop_farming,high,naics4_rule
111419,Other Food Crops Grown Under Cover,11,agriculture.crop_farming,high,naics4_rule
111421,Nursery and Tree Production,11,agriculture.crop_farming,high,naics4_rule
111422,Floriculture Production,11,agriculture.crop_farming,high,naics4_rule
111910,Tobacco Farming,11,agriculture.crop_farming,high,naics4_rule
111920,Cotton Farming,11,agriculture.crop_farming,high,naics4_rule
111930,Sugarcane Farming,11,agriculture.crop_farming,high,naics4_rule
111940,Hay Farming,11,agriculture.crop_farming,high,naics4_rule
111991,Sugar Beet Farming,11,agriculture.crop_farming,high,naics4_rule
111992,Peanut Farming,11,agriculture.crop_farming,high,naics4_rule
111998,All Other Miscellaneous Crop Farming,11,agriculture.crop_farming,high,naics4_rule
112111,Beef Cattle Ranching and Farming,11,agriculture.livestock,high,naics4_rule
112112,Cattle Feedlots,11,agriculture.livestock,high,naics4_rule
112120,Dairy Cattle and Milk Production,11,agriculture.livestock,high,naics4_rule
112130,Dual-Purpose Cattle Ranching and Farming,11,agriculture.livestock,high,naics4_rule
